"","0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100-104","105-109","110+"
"0",0,0,9.75215508815074e-06,0.00766746885412862,0.0528216700592166,0.0950113571349105,0.0873800511397109,0.0621284427696947,0.0345158134872394,0.0110984807527976,0.00091383879252655,2.83048684794105e-06,0,0,0,0,0,0,0,0,0,0,0,0
"1-4",3.7738252039429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-9",0,1.21854409020415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-14",0,0,0.986113164313697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-19",0,0,0,0.979469029036157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-24",0,0,0,0,0.977689877580109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-29",0,0,0,0,0,0.979240353992691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-34",0,0,0,0,0,0,0.982035045649269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-39",0,0,0,0,0,0,0,0.984351749872184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40-44",0,0,0,0,0,0,0,0,0.984844608789352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45-49",0,0,0,0,0,0,0,0,0,0.982402145222315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-54",0,0,0,0,0,0,0,0,0,0,0.978086047983676,0,0,0,0,0,0,0,0,0,0,0,0,0
"55-59",0,0,0,0,0,0,0,0,0,0,0,0.970574582074962,0,0,0,0,0,0,0,0,0,0,0,0
"60-64",0,0,0,0,0,0,0,0,0,0,0,0,0.957843562027695,0,0,0,0,0,0,0,0,0,0,0
"65-69",0,0,0,0,0,0,0,0,0,0,0,0,0,0.935744623355872,0,0,0,0,0,0,0,0,0,0
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897733051246477,0,0,0,0,0,0,0,0,0
"75-79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836012839250624,0,0,0,0,0,0,0,0
"80-84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743251721051619,0,0,0,0,0,0,0
"85-89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604664903494457,0,0,0,0,0,0
"90-94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428402587129496,0,0,0,0,0
"95-99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256658122257462,0,0,0,0
"100-104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123063901819721,0,0,0
"105-109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584594222833563,0,0
"110+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117647058823529,0
